order_id,distance_km,delivery_time,order_value,peak_hour,batch_size,rider_idle_time,warehouse_wait_time,cancelled,city_zone,cost_per_order,sla_violation
0,8.31,53,2280,1,1,4,6,0,South,145.98000000000002,1
1,1.39,51,783,1,1,4,10,0,North,87.62,1
2,5.03,42,1504,1,1,17,5,1,North,103.24000000000001,1
3,8.16,54,376,0,4,0,18,0,North,146.28,1
4,1.14,58,984,1,2,25,13,0,East,96.12,1
5,9.61,18,798,1,4,21,4,0,West,103.88,0
6,4.89,12,1461,0,1,26,5,1,West,57.12,0
7,8.68,31,557,0,5,29,8,0,East,115.94,1
8,10.39,54,563,1,3,7,2,0,East,164.12,1
9,4.9,55,1868,1,4,15,3,0,West,121.7,1
10,6.27,44,1650,1,1,9,14,0,South,116.16,1
11,3.84,23,1318,1,5,11,20,0,West,65.22,0
12,7.21,22,690,1,3,29,14,0,East,90.68,0
13,6.68,11,1947,0,5,4,16,1,North,69.94,0
14,2.6,20,1249,0,5,27,15,0,East,50.8,0
15,2.36,42,1685,0,3,3,19,0,East,81.88,1
16,6.75,55,2344,0,5,6,2,0,North,136.5,1
17,7.85,55,1152,0,2,27,14,0,East,145.3,1
18,1.32,45,306,1,1,28,10,0,South,78.06,1
19,8.29,39,2096,1,2,18,19,0,East,124.82,1
20,2.44,18,216,1,3,6,5,0,East,46.519999999999996,0
21,2.74,31,1174,1,2,20,20,0,West,68.42,1
22,2.03,23,1888,0,5,21,2,1,East,50.739999999999995,0
23,4.13,17,1561,1,5,26,11,0,West,58.54,0
24,1.1,20,1956,0,2,24,17,0,North,38.8,0
25,10.54,19,1139,0,4,5,7,0,South,112.82,0
26,2.71,34,1906,1,4,26,4,1,North,72.68,1
27,1.6,58,969,0,2,23,13,0,North,99.8,1
28,10.45,50,2351,1,5,24,16,0,South,158.6,1
29,11.31,22,1268,1,2,29,17,0,South,123.48,0
30,6.21,59,1618,0,2,0,17,0,West,138.18,1
31,8.09,30,1699,0,3,29,4,0,South,109.72,0
32,8.36,18,1688,1,4,23,13,0,West,93.88,0
33,1.03,34,2269,1,5,19,15,1,South,59.24,1
34,5.26,25,1261,1,5,25,6,0,South,79.58,0
35,1.06,42,1307,1,2,19,11,0,East,71.48,1
36,4.67,31,2370,1,4,8,11,0,West,83.86,1
37,7.53,47,1834,1,4,27,1,1,West,130.74,1
38,6.74,17,1829,1,1,9,4,1,East,79.42,0
39,4.87,33,1566,0,2,4,13,1,North,88.46000000000001,1
40,10.95,38,1803,0,3,3,19,0,North,144.6,1
41,3.02,51,2040,1,2,20,6,0,South,100.66,1
42,2.72,26,737,1,4,13,2,1,East,60.760000000000005,0
43,8.76,22,1092,0,2,1,17,0,East,103.08,0
44,11.66,13,1332,1,1,5,5,0,North,112.78,0
45,4.93,40,1877,1,1,3,7,1,East,99.44,1
46,9.84,59,2019,1,4,24,17,1,West,167.22,1
47,8.18,44,1572,0,2,3,18,1,West,131.44,1
48,2.75,43,793,0,3,8,6,1,East,86.5,1
49,10.41,38,508,0,1,23,20,1,West,140.28,1
50,2.8,56,1602,1,1,11,1,1,West,106.4,1
51,7.89,30,1188,1,3,20,19,0,North,108.12,0
52,10.1,20,878,0,2,29,5,1,West,110.8,0
53,7.53,13,1803,0,2,9,8,0,West,79.74000000000001,0
54,7.38,21,834,1,2,30,6,0,South,90.53999999999999,0
55,7.55,52,388,1,2,13,9,0,North,138.4,1
56,7.1,20,1947,0,3,16,7,0,East,86.8,0
57,11.64,50,2076,0,2,14,11,1,North,168.12,1
58,11.69,47,1067,1,2,8,12,1,West,164.01999999999998,1
59,9.71,17,659,0,4,30,9,1,West,103.18,0
60,11.47,36,925,1,4,13,6,0,North,145.76,1
61,5.81,11,2174,1,5,25,9,0,South,62.98,0
62,8.13,47,683,0,4,3,4,1,West,135.54000000000002,1
63,4.59,46,217,0,3,24,2,0,East,105.72,1
64,4.82,60,2215,1,1,2,13,0,West,128.56,1
65,10.98,47,2279,1,5,10,19,0,North,158.34,1
66,7.85,29,1693,0,2,4,13,0,South,106.3,0
67,10.39,24,2202,1,1,6,13,1,South,119.12,0
68,10.8,53,1861,1,4,16,15,0,East,165.9,1
69,10.65,18,1754,0,5,24,19,0,West,112.2,0
70,11.33,41,423,0,5,1,17,1,West,152.14,1
71,8.18,47,779,1,3,15,1,1,North,135.94,1
72,9.13,24,2007,1,1,1,10,1,West,109.04,0
73,6.27,55,380,1,1,2,5,1,South,132.66,1
74,3.59,52,1426,0,1,20,9,1,East,106.72,1
75,2.82,15,2018,1,5,14,17,1,North,45.06,0
76,9.24,18,723,1,3,26,16,1,North,100.92,0
77,10.03,35,875,1,3,22,14,0,North,132.74,1
78,5.75,20,1912,0,3,22,7,1,East,76.0,0
79,5.19,26,1265,1,5,15,9,0,East,80.52000000000001,0
80,1.42,19,1881,1,1,20,9,1,North,39.86,0
81,10.24,26,912,1,1,30,13,0,North,120.92,0
82,9.67,47,1305,0,5,1,4,0,East,147.86,1
83,6.77,57,1866,1,1,17,11,0,North,139.66,1
84,8.86,46,731,1,5,8,9,1,West,139.88,1
85,3.72,22,1004,1,4,29,15,0,West,62.760000000000005,0
86,11.55,55,2166,1,1,3,7,0,East,174.9,1
87,5.83,44,617,1,4,21,3,1,North,112.64,1
88,7.82,10,249,1,4,22,1,1,North,77.56,0
89,7.45,39,612,0,3,29,2,1,North,118.1,1
90,7.98,28,2344,1,3,25,11,1,South,105.84,0
91,9.73,41,1941,0,3,17,18,1,East,139.34,1
92,9.44,57,771,0,5,29,14,1,West,161.01999999999998,1
93,10.56,36,1072,1,1,3,4,1,East,138.48000000000002,1
94,6.42,16,2091,0,5,6,14,0,North,75.36,0
95,5.86,46,1074,0,4,7,14,1,South,115.88,1
96,1.82,54,729,0,2,7,5,0,West,95.56,1
97,4.64,46,945,1,2,11,11,0,West,106.12,1
98,3.37,58,362,1,4,12,4,1,East,113.96000000000001,1
99,5.91,50,635,1,1,29,1,1,West,122.28,1
100,10.35,16,2045,1,5,11,13,1,North,106.8,0
101,9.14,25,1448,1,4,20,9,0,East,110.62,0
102,3.78,52,1451,0,2,25,19,1,West,108.24,1
103,4.26,17,2293,1,4,14,18,0,East,59.58,0
104,11.31,53,409,0,3,15,7,1,West,169.98000000000002,1
105,4.59,51,2085,0,5,22,15,0,West,113.22,1
106,1.74,24,536,1,3,24,1,1,East,49.92,0
107,3.53,50,1831,1,1,14,17,0,South,103.24,1
108,4.64,10,464,1,5,21,7,0,West,52.12,0
109,3.6,49,1459,1,1,13,11,0,North,102.3,1
110,10.31,27,1421,0,3,25,19,1,South,122.98,0
111,3.03,47,845,1,3,24,11,0,South,94.74,1
112,10.68,44,548,1,2,8,16,0,East,151.44,1
113,2.91,52,1993,0,1,29,12,1,East,101.28,1
114,8.24,44,870,1,5,18,7,0,North,131.92000000000002,1
115,3.88,52,2420,0,1,22,7,1,East,109.03999999999999,1
116,4.17,37,901,1,5,27,8,0,West,88.86,1
117,6.02,15,470,0,5,17,19,1,West,70.66,0
118,2.63,43,478,0,4,0,16,1,East,85.53999999999999,1
119,8.39,37,650,0,3,15,6,0,East,122.62,1
120,8.15,31,766,0,4,23,19,1,East,111.7,1
121,11.78,19,1529,1,5,9,12,0,West,122.74,0
122,9.12,14,1022,1,4,6,3,0,West,93.96,0
123,10.2,53,1488,0,5,15,6,1,North,161.1,1
124,4.9,53,2396,0,2,9,5,1,East,118.7,1
125,3.86,50,2058,0,4,17,7,0,South,105.88,1
126,4.12,37,1807,1,5,16,16,1,South,88.46000000000001,1
127,5.53,42,2363,0,4,20,12,0,South,107.24000000000001,1
128,11.24,35,733,0,3,25,1,0,West,142.42000000000002,1
129,11.1,34,241,0,4,2,10,0,North,139.8,1
130,8.83,32,1784,0,3,3,12,0,East,118.64,1
131,6.6,40,2184,0,2,6,3,1,South,112.8,1
132,8.46,30,1380,1,3,0,20,0,South,112.68,0
