order_id,distance_km,delivery_time,order_value,peak_hour,batch_size,rider_idle_time,warehouse_wait_time,cancelled,city_zone
0,8.31,53,2280,1,1,4,6,0,South
1,1.39,51,783,1,1,4,10,0,North
2,5.03,42,1504,1,1,17,5,1,North
3,8.16,54,376,0,4,0,18,0,North
4,1.14,58,984,1,2,25,13,0,East
5,9.61,18,798,1,4,21,4,0,West
6,4.89,12,1461,0,1,26,5,1,West
7,8.68,31,557,0,5,29,8,0,East
8,10.39,54,563,1,3,7,2,0,East
9,4.9,55,1868,1,4,15,3,0,West
10,6.27,44,1650,1,1,9,14,0,South
11,3.84,23,1318,1,5,11,20,0,West
12,7.21,22,690,1,3,29,14,0,East
13,6.68,11,1947,0,5,4,16,1,North
14,2.6,20,1249,0,5,27,15,0,East
15,2.36,42,1685,0,3,3,19,0,East
16,6.75,55,2344,0,5,6,2,0,North
17,7.85,55,1152,0,2,27,14,0,East
18,1.32,45,306,1,1,28,10,0,South
19,8.29,39,2096,1,2,18,19,0,East
20,2.44,18,216,1,3,6,5,0,East
21,2.74,31,1174,1,2,20,20,0,West
22,2.03,23,1888,0,5,21,2,1,East
23,4.13,17,1561,1,5,26,11,0,West
24,1.1,20,1956,0,2,24,17,0,North
25,10.54,19,1139,0,4,5,7,0,South
26,2.71,34,1906,1,4,26,4,1,North
27,1.6,58,969,0,2,23,13,0,North
28,10.45,50,2351,1,5,24,16,0,South
29,11.31,22,1268,1,2,29,17,0,South
30,6.21,59,1618,0,2,0,17,0,West
31,8.09,30,1699,0,3,29,4,0,South
32,8.36,18,1688,1,4,23,13,0,West
33,1.03,34,2269,1,5,19,15,1,South
34,5.26,25,1261,1,5,25,6,0,South
35,1.06,42,1307,1,2,19,11,0,East
36,4.67,31,2370,1,4,8,11,0,West
37,7.53,47,1834,1,4,27,1,1,West
38,6.74,17,1829,1,1,9,4,1,East
39,4.87,33,1566,0,2,4,13,1,North
40,10.95,38,1803,0,3,3,19,0,North
41,3.02,51,2040,1,2,20,6,0,South
42,2.72,26,737,1,4,13,2,1,East
43,8.76,22,1092,0,2,1,17,0,East
44,11.66,13,1332,1,1,5,5,0,North
45,4.93,40,1877,1,1,3,7,1,East
46,9.84,59,2019,1,4,24,17,1,West
47,8.18,44,1572,0,2,3,18,1,West
48,2.75,43,793,0,3,8,6,1,East
49,10.41,38,508,0,1,23,20,1,West
50,2.8,56,1602,1,1,11,1,1,West
51,7.89,30,1188,1,3,20,19,0,North
52,10.1,20,878,0,2,29,5,1,West
53,7.53,13,1803,0,2,9,8,0,West
54,7.38,21,834,1,2,30,6,0,South
55,7.55,52,388,1,2,13,9,0,North
56,7.1,20,1947,0,3,16,7,0,East
57,11.64,50,2076,0,2,14,11,1,North
58,11.69,47,1067,1,2,8,12,1,West
59,9.71,17,659,0,4,30,9,1,West
60,11.47,36,925,1,4,13,6,0,North
61,5.81,11,2174,1,5,25,9,0,South
62,8.13,47,683,0,4,3,4,1,West
63,4.59,46,217,0,3,24,2,0,East
64,4.82,60,2215,1,1,2,13,0,West
